날짜,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),전운량(10분위),자외선지수
2020-06-01,1.196,0.2,-999,2,5
2020-06-02,0.426,0.114,-999,10,7
2020-06-03,0.802,0.16,-999,10,7
2020-06-04,0.658,0.11,-999,7,9
2020-06-05,0.924,0.173,325,7,9
2020-06-06,1.178,0.17,-999,3,9
2020-06-07,1.273,0.187,-999,4,9
2020-06-08,1.38,0.179,-999,2,10
2020-06-09,1.436,0.201,306.1,1,10
2020-06-10,1.178,0.243,-999,6,9
2020-06-11,1.278,0.211,-999,7,8
2020-06-12,0.542,0.173,-999,10,6
2020-06-13,1.424,0.23,-999,7,8
2020-06-14,1.106,0.226,-999,9,9
2020-06-15,1.296,0.203,315.7,2,9
2020-06-16,1.472,0.217,-999,1,10
2020-06-17,0.949,0.169,-999,10,8
2020-06-18,0.628,0.11,-999,10,5
2020-06-19,1.266,0.175,-999,4,7
2020-06-20,1.478,0.196,-999,5,9
2020-06-21,1.442,0.181,-999,1,10
2020-06-22,1.49,0.203,327.1,1,10
2020-06-23,1.007,0.181,-999,8,5
2020-06-24,0.464,0.113,-999,10,6
2020-06-25,0.553,0.138,-999,10,6
2020-06-26,1.335,0.211,309.2,6,6
2020-06-27,0.932,0.185,-999,8,10
2020-06-28,1.186,0.202,-999,3,8
2020-06-29,0.433,0.107,-999,10,4
2020-06-30,0.446,0.099,-999,8,7
2020-07-01,0.926,0.187,-999,9,10
2020-07-02,1.262,0.211,306.6,4,10
2020-07-03,0.697,0.15,-999,10,10
2020-07-04,1.151,0.184,-999,10,5
2020-07-05,1.434,0.212,-999,7,8
2020-07-06,1.292,0.206,308.6,6,8
2020-07-07,1.303,0.193,-999,6,9
2020-07-08,1.418,0.194,333,2,10
2020-07-09,1.376,0.192,-999,4,4
2020-07-10,1.098,0.226,324.8,6,8
2020-07-11,1.133,0.19,-999,-999,6
2020-07-12,0.351,0.073,-999,-999,5
2020-07-13,0.324,0.109,-999,-999,6
2020-07-14,0.648,0.132,-999,-999,6
2020-07-15,1.272,0.228,321.6,9,9
2020-07-16,1.32,0.2,320.8,9,10
2020-07-17,1.422,0.192,327.5,5,8
2020-07-18,0.879,0.141,305.4,10,5
2020-07-19,0.591,0.131,-999,10,6
2020-07-20,0.702,0.19,-999,10,10
2020-07-21,1.288,0.206,310.1,3,6
2020-07-22,0.637,0.128,293.4,10,4
2020-07-23,0.12,0.034,-999,10,4
2020-07-24,0.91,0.234,317.9,10,6
2020-07-25,1.131,0.213,310.9,10,8
2020-07-26,0.887,0.221,293.9,8,6
2020-07-27,0.666,0.115,280.7,10,6
2020-07-28,0.549,0.118,275.6,10,6
2020-07-29,0.671,0.158,-999,10,6
2020-07-30,0.568,0.102,305.1,-999,6
2020-07-31,0.537,0.167,285.3,10,4
2020-08-01,0.451,0.082,299.3,10,4
2020-08-02,0.404,0.139,-999,8,4
2020-08-03,0.215,0.04,-999,10,4
2020-08-04,0.927,0.193,276.3,8,4
2020-08-05,1.108,999,277.6,7,4
2020-08-06,0.42,0.124,287.3,10,6
2020-08-07,0.325,0.082,-999,10,4
2020-08-08,0.25,0.056,280.2,10,4
2020-08-09,0.271,0.077,-999,-999,4
2020-08-10,0.744,0.192,260.4,9,6
2020-08-11,0.449,0.143,293.8,10,6
2020-08-12,0.637,0.213,-999,9,4
2020-08-13,1.124,0.208,276.9,9,4
2020-08-14,0.877,0.194,286.8,8,6
2020-08-15,0.891,0.198,-999,8,8
2020-08-16,1.245,0.228,-999,7,9
2020-08-17,1.182,0.234,-999,7,9
2020-08-18,1.354,0.222,283.3,2,5
2020-08-19,-999,-999,279.2,3,7
2020-08-20,-999,-999,-999,3,7
2020-08-21,1.216,0.194,289.3,4,7
2020-08-22,0.667,0.113,298.3,9,5
2020-08-23,1.305,0.213,285,6,7
2020-08-24,1.297,0.21,275.5,4,5
